16:15:21.871 [] [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
16:25:00.420 [] [http-nio-8082-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@2f2b883f (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
16:25:00.458 [] [http-nio-8082-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@a2f8f9f (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
16:25:00.496 [] [http-nio-8082-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@6cb15093 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
16:25:00.533 [] [http-nio-8082-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@6a4067e8 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
16:25:00.569 [] [http-nio-8082-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@19d970ef (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
16:25:00.606 [] [http-nio-8082-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@6ffc473c (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
16:25:00.764 [] [http-nio-8082-exec-3] INFO  com.revature.aspects.LoggingAspect - com.revature.service.UserService@65715d68 invoked List com.revature.service.UserService.findAllUsers() with param [Ljava.lang.Object;@681e4eb8
16:25:29.652 [] [RMI TCP Connection(18)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
16:25:29.689 [] [RMI TCP Connection(18)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
16:25:29.692 [] [RMI TCP Connection(18)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
16:25:29.695 [] [RMI TCP Connection(18)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
